"DistributionId","Destination","RouteNumber","PredictedArrival","ScheduledArrival","mu","sigma","nu","tau","ScenarioId"
"103","Everett","512",7,-1,23.6703322038728,0.0462861669539542,-0.497982130486284,1.58847280444107,"3"
"104","Everett","512",11,4,27.8959382469142,0.0659694701759169,-3.80023123477992,1.74548149249158,"1"
"105","Everett","512",19,15,37.4874834806166,0.124800827424498,-8.98774944210671,2.06806559281026,"LANDSCAPE"
"106","Everett","512",14,3,30.7384195820507,0.0813300852852539,-2.8770038788392,1.84542749293928,"3"
"107","Everett","512",17,3,34.5913197863614,0.104927106931369,-2.55550396826854,1.9748152320157,"4"
"108","Everett","512",15,3,31.9018281129869,0.0881163645360285,-2.71667426927881,1.88519059534127,"LANDSCAPE"
"109","Everett","512",19,5,37.3684126416567,0.123947254376251,-3.44943076293446,2.06429365164394,"LANDSCAPE"
"110","Everett","512",15,2,32.859012610797,0.0939190140199084,-2.17597386061346,1.91744404611519,"2"
"111","Everett","512",13,7,30.1316555364826,0.0779062835823724,-5.22137479984504,1.82443506633235,"LANDSCAPE"
"112","Everett","512",11,9,27.6651070834756,0.0647975018823782,-6.68334244470561,1.73717870340729,"4"
"113","Everett","512",14,6,30.9557754217535,0.0825757979502956,-4.24665525059243,1.85290438812363,"LANDSCAPE"
"114","Everett","512",13,4,30.0879065055829,0.0776624711582163,-3.61510290122697,1.82291453461569,"LANDSCAPE"
"115","Everett","512",6,-4,22.5387228652283,0.0416442803661477,1.08945701991996,1.54444131649933,"LANDSCAPE"
"116","Everett","512",17,14,34.5941064907561,0.104945343142215,-8.83180610605655,1.97490652343911,"LANDSCAPE"
"117","Everett","512",10,8,26.5454737536911,0.0592724580425499,-6.74288021527377,1.69648028449682,"2"
"118","Everett","512",7,6,23.8779946842357,0.0471666233917585,-5.18254402689237,1.59645479866247,"LANDSCAPE"
"119","Everett","512",15,15,32.1216481794559,0.0894314075758903,-10.2324307541487,1.89263376959148,"3"
"120","Everett","512",12,11,29.2194384316877,0.15,-7.97111962198892,1.79253260113407,"PRACTICE"
"121","Everett","512",11,3,27.7007132246686,0.25,-3.29406748811083,1.73846134464502,"PRACTICE"
"122","U District","542",7,5,23.5444152455377,0.0457566309486493,-4.65246873720597,1.58361835370428,"4"
"123","U District","542",11,11,27.9090406888219,0.06603633153127,-8.18798063919106,1.74595189567845,"4"
"124","U District","542",18,11,35.9029666824671,0.113698821653752,-6.57925841865527,2.01744397846798,"4"
"125","U District","542",7,1,23.9355525625482,0.0474122356327205,-2.06963186448343,1.59866192847189,"4"
"126","U District","542",6,-4,22.7671822803863,0.0425602458918546,1.01358290546557,1.5534053574532,"3"
"127","U District","542",10,9,27.1790382355799,0.0623664574117768,-6.81518914059382,1.71959810406733,"2"
"128","U District","542",14,12,31.2901188165209,0.0845118364042823,-8.59555402856472,1.86436204265509,"1"
"129","U District","542",17,15,34.2545016238074,0.10273548110115,-9.44821206193596,1.96375800158038,"1"
"130","U District","542",5,0,20.7272578702128,0.0347582651892357,-1.11480060651957,1.47194305706666,"1"
"131","U District","542",16,4,33.9614545739313,0.10084884193794,-3.00607497299616,1.95409996032045,"4"
"132","U District","542",8,-2,24.8542233348865,0.0514252255054561,0.0643404723558794,1.63358864185344,"LANDSCAPE"
"133","U District","542",8,-5,25.0236807717905,0.052184589713158,1.45273351783555,1.63997070315694,"2"
"134","U District","542",14,7,31.5588387740045,0.0860853369450757,-4.93622157809174,1.87353306863518,"4"
"135","U District","542",7,-5,23.4794351927055,0.0454846396073339,1.32587675474968,1.58110886332476,"LANDSCAPE"
"136","U District","542",8,-1,24.7288182289126,0.0508671092715696,-0.282691286714545,1.62885372105091,"LANDSCAPE"
"137","U District","542",9,1,25.7527618501981,0.0555199394319646,-2.23830323924379,1.66722156328656,"2"
"138","U District","542",18,6,35.7236601156834,0.112477392718452,-3.81443275437824,2.01165612460314,"1"
"139","U District","542",5,-8,21.3756719231392,0.0371464897941569,2.91223931343451,1.49819289678324,"3"
"140","U District","542",14,7,31.3292860763749,0.0847402126205624,-4.83544664492056,1.86570084862623,"4"
"141","U District","542",9,0,25.7327968877218,0.055427127949956,-1.43638829296927,1.66647974597647,"1"
"142","U District","542",17,11,34.5013491884514,0.104339252155959,-6.6447622702562,1.97186614176815,"LANDSCAPE"
"143","U District","542",15,2,31.9636230785961,0.0884849884731379,-2.23368053112484,1.88728519417482,"4"
"144","U District","542",11,8,28.4011639716069,0.0685739571864821,-5.91136092568264,1.7635524848815,"4"
"145","U District","542",5,-8,21.1244042944461,0.0362109220576607,3.08091023826822,1.48806161859389,"LANDSCAPE"
"146","U District","542",8,2,24.3199034176696,0.0490699041599104,-2.78641172642441,1.61334277013274,"LANDSCAPE"
"147","U District","542",7,6,23.5326222486396,0.045707203599149,-5.87948189296893,1.58316313472821,"3"
"148","U District","542",10,4,27.2415928511358,0.0626765256662335,-3.9314130070011,1.72186810804887,"4"
"149","U District","542",9,-3,25.4337153723432,0.0540467466503479,0.594718506889325,1.65533756995483,"2"
"150","U District","542",7,-4,23.3981376728553,0.0451455718658319,1.20422425406677,1.57796503045176,"4"
