"vis","arrival","participant","distribution","scenario","trial","mu","sigma","nu","tau","mode","duration","response","payoff","expected_payoff","optimal_payoff","expected_over_optimal"
"interval",TRUE,"p77","d020","s4",5,32.77233029,0.09338534855,-6.268149476,1.914539821,17,12.566072,15,784,558.8708764,558.8708764,1
"interval",TRUE,"p77","d143","s4",6,31.96362308,0.08848498847,-2.233680531,1.887285194,16,11.864469,15,826,488.7667051,488.7667051,1
"interval",TRUE,"p77","d040","s4",7,23.11982481,0.04399510928,1.773844046,1.56716706,8,9.946632,25,368,234.7286674,434.7286674,0.539942923027947
"interval",TRUE,"p77","d107","s4",8,34.59131979,0.1049271069,-2.555503968,1.974815232,19,12.109635,15,770,608.0888088,608.0888088,1
"interval",TRUE,"p77","d125","s4",9,23.93555256,0.04741223563,-2.069631864,1.598661928,9,49.848592,25,396,222.7356712,422.7356712,0.526891119852107
"interval",TRUE,"p77","d123","s4",10,27.90904069,0.06603633153,-8.187980639,1.745951896,12,14.553421,25,186,169.7256924,369.7256924,0.45905842057732
"interval",TRUE,"p77","d096","s4",11,35.08765613,0.1082019695,-6.363171817,1.991025931,19,5.619345,15,826,665.2334035,665.2334035,1
"interval",TRUE,"p77","d061","s4",12,37.20177385,0.1227579597,-7.139004172,2.059006236,20,8.08008,15,770,698.9878912,698.9878912,1
"interval",TRUE,"p77","d150","s4",13,23.39813767,0.04514557187,1.204224254,1.57796503,8,9.924107,25,410,230.4504549,430.4504549,0.535370452689002
"interval",TRUE,"p77","d057","s4",14,22.30967592,0.04073668239,0.8250353948,1.535415266,7,11.312868,25,424,245.052421,445.052421,0.550614735336986
